n|title|price|originalPrice|size|brand|condition|listingUrl|imageUrl
201|ELIZABETH AND JAMES "Addilyn" Crop Top and‎ "Aisling" Pencil Skirt XXS|110.0|600.0|XXS|Elizabeth and James|nwt|https://poshmark.com/listing/6a8a8c8cfc6d1e0ed746f827|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a8c8cfc6d1e0ed746f827/l_6a8a8c8cfc6d1e0ed746f828.jpeg
202|SPANX Assets Red Hot Label Luxe & Lean Luxe‎ Ane Lean Open Bust Tank Size L|21.0|65.0|L|Assets By Spanx|ug|https://poshmark.com/listing/6a8a8b4d1b613a12c8bd59eb|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a8b4d1b613a12c8bd59eb/l_6a8a8b4d1b613a12c8bd59ec.jpeg
203|MOULINETTE SOEURS Blue-Green/Cream‎ Silk Twist Sleevless Ikat Shift Dress Size 4|32.0|350.0|4|Moulinette Soeurs|ug|https://poshmark.com/listing/6a8a89f5db94204d77c623a0|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a89f5db94204d77c623a0/l_6a8a89f5db94204d77c623a1.jpeg
204|GILDAN Colorful "Slingshot" Ride Souvenir Graphic‎ T-Shirt Size S Unisex NWOT|13.0|41.0|S|Gildan|ug|https://poshmark.com/listing/6a8a88a81b7e50687e5d1291|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a88a81b7e50687e5d1291/l_6a8a88a81b7e50687e5d1292.jpeg
205|DEREK HEART Striped Ribbed Tank‎ Midi Dress M|18.0|99.0|M|Derek Heart|ug|https://poshmark.com/listing/6a8a87769bca61797a3f49d2|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a87769bca61797a3f49d2/l_6a8a87769bca61797a3f49d3.jpeg
206|VINTAGE Handmade Ugly Christmas‎ Sweater Reindeer|52.0|100.0|L|Vintage|ug|https://poshmark.com/listing/6a8a85c73ae6c1b3da799fc5|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a85c73ae6c1b3da799fc5/l_6a8a85c73ae6c1b3da799fc6.jpeg
207|Green Peach White‎ Tropical Leaf Halter Bikini Set with Mesh Sarong|40.0|60.0|M|Unbranded|ug|https://poshmark.com/listing/6a8a83f4f086ed6f4de71b19|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a83f4f086ed6f4de71b19/l_6a8a83f4f086ed6f4de71b1a.jpg
208|J. CREW NWT Navy Rainbow Striped Long-sleeved‎ Tshirt XXS|40.0|148.0|XXS|J. Crew|nwt|https://poshmark.com/listing/6a8a826b9d7e083cfc5e9b52|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a826b9d7e083cfc5e9b52/l_6a8a826b9d7e083cfc5e9b53.jpeg
209|& OTHER STORIES Cream Embellished Sequin‎ Beaded Crop Sweater Size XS|175.0|298.0|XS|& Other Stories|ug|https://poshmark.com/listing/6a8a811143ca2b15c5042ab5|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a8a811143ca2b15c5042ab5/l_6a8a811143ca2b15c5042ab6.jpeg
210|GNARLY Fruit Lavender‎ Shirt Size S|18.0|52.0|S|Gnarly|ug|https://poshmark.com/listing/6a894f5fbfa8f44b8d648804|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a894f5fbfa8f44b8d648804/l_6a894f5fbfa8f44b8d648805.jpeg
211|Pet Halloween Thrills & Chills Pumpkin & Monster Costumes‎ - Sold separately|32.0|50.0|OS|thrills and chills|ug|https://poshmark.com/listing/6a894d4f260ae26fcc8ab4d1|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a894d4f260ae26fcc8ab4d1/l_6a894d4f260ae26fcc8ab4d2.jpg
212|Nike Dualtone‎ Racer GS Sunblush Arctic Pink Black 943576-002 Size 4Y|29.0|70.0|4G|Nike|ug|https://poshmark.com/listing/6a894be2f09fc82ae805efb5|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a894be2f09fc82ae805efb5/l_6a894be2f09fc82ae805efb6.jpeg
213|VERO MODA Lorissa Beige Multi Knit Long Sleeve Sweater Size‎ XS|32.0|89.0|XS|Vero Moda|ug|https://poshmark.com/listing/6a89495b18db0289a3001558|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/22/6a89495b18db0289a3001558/l_6a89495b18db0289a3001559.jpeg
214|SCRUB DADDY toilet scrubbing system refill pack (36 tablets)‎|25.0||OS|Scrub Daddy|nwt|https://poshmark.com/listing/6a8947abfa6acef0bdb68e90|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a8947abfa6acef0bdb68e90/l_6a8947abfa6acef0bdb68e91.jpeg
215|FIGS Rate HTF Heather Indigo Yola 10-pocket Scrub Pants Size S‎|37.0|100.0|S|Figs|ug|https://poshmark.com/listing/6a8945be1179ac3f73298e9e|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a8945be1179ac3f73298e9e/l_6a8945be1179ac3f73298e9f.jpeg
216|MOSCHINO LOVE Mint Green Jean Shorts Sz‎ 4|65.0|200.0|4|Moschino|ug|https://poshmark.com/listing/6a89445409df51892b836860|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a89445409df51892b836860/l_6a89445409df51892b836861.jpeg
217|BAND OF GYPSIES‎ Floral Jumpsuit XS|21.0|88.0|XS|Band of Gypsies|ug|https://poshmark.com/listing/6a89416ce6776c5bcf024afe|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a89416ce6776c5bcf024afe/l_6a89416ce6776c5bcf024aff.jpeg
218|Vintage‎ 90s Black Velvet Slip Gown with Lace Yoke|800.0||XS|Vintage|uln|https://poshmark.com/listing/6a893ffa95154fe62a281743|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a893ffa95154fe62a281743/l_6a893ffa95154fe62a281744.jpg
219|DREAMS COLLECTION Strapless Wedding Dress Altered Size 8‎|201.0|2000.0|8||ug|https://poshmark.com/listing/6a893e975ad4be55c51a6f4e|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a893e975ad4be55c51a6f4e/l_6a893e975ad4be55c51a6f4f.jpeg
220|GREY'S ANATOMY Gray Yoga Band Waist with Drawstring Size XS‎|11.0|42.0|XS|Grey's Anatomy|ug|https://poshmark.com/listing/6a893cfb684147e4bc0c62b7|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a893cfb684147e4bc0c62b7/l_6a893cfb684147e4bc0c62b8.jpeg
221|LAUREN CONRAD Cream Racerback Crochet‎ Maxi Dress|14.0|54.0|XS|LC Lauren Conrad|ug|https://poshmark.com/listing/6a893b453559d5e941c644e4|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a893b453559d5e941c644e4/l_6a893b453559d5e941c644e5.jpeg
222|Sequined Burgundy Party Dress for Teen‎ Size 0|65.0||0|B Darlin|uln|https://poshmark.com/listing/6a8939ffdc9435177acf67f3|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a8939ffdc9435177acf67f3/l_6a8939ffdc9435177acf67f4.jpg
223|TRINA TURK (NWT)‎ Burgundy Azar Halter Neck Wide Leg Jumpsuit 2|41.0|298.0|2|Trina Turk|nwt|https://poshmark.com/listing/6a8938a909c3e3e02e441520|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a8938a909c3e3e02e441520/l_6a8938a909c3e3e02e441521.jpeg
224|ONE TEASPOON Blue 2020 "Hustler" High Waisted Denim Distressed Skirt‎ Size 22|29.0|110.0|22" Waist|One Teaspoon|ug|https://poshmark.com/listing/6a892fecc6e38ab7c4b5894a|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a892fecc6e38ab7c4b5894a/l_6a892fecc6e38ab7c4b5894b.jpeg
225|KENDRA SCOTT‎ Tulip Drop Earrings|54.0||OS|Kendra Scott|nwt|https://poshmark.com/listing/6a892e27d47f7e1550dec67b|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a892e27d47f7e1550dec67b/l_6a892e27d47f7e1550dec67d.jpg
226|ROTHY'S Retired Rosebud Light‎ Mauve Pink Pointed Toe Flats Size W7.5|242.0||7.5|Rothy's|uln|https://poshmark.com/listing/6a892cf023cd1ebdbb1cff6f|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a892cf023cd1ebdbb1cff70.jpg
227|MAD Engine Black Tee with‎ Green Grinch Graphic and Yellow Eyes|25.0|60.0|XXL|MAD Engine|uln|https://poshmark.com/listing/6a8802847b0e80ecad35bd94|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a8802847b0e80ecad35bd94/l_6a8802847b0e80ecad35bd95.jpg
228|EXPRESS Blue Pattern Long-Sleeve Button-Front Men's Career Office Shirt‎ Size XS|21.0|89.0|XS|Express|ug|https://poshmark.com/listing/6a87ffd71696a75ee3ac2d32|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a87ffd71696a75ee3ac2d32/l_6a87ffd71696a75ee3ac2d33.jpeg
229|Vintage LACOSTE‎ Navy Blue Half-Zip Packable Nylon Windbreaker Jacket Size M|175.0|500.0|M|Lacoste|uln|https://poshmark.com/listing/6a87fe3f3ae6c10bc346ba6a|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a87fe3f3ae6c10bc346ba6a/l_6a87fe3f3ae6c10bc346ba6b.jpg
230|VINTAGE Brown Suede/Leather Long‎ Fringe Pencil Skirt|122.0|400.0|SEE MEASUREMENTS|Vintage|ug|https://poshmark.com/listing/6a87fca0d776bdb695254235|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a87fca0d776bdb695254235/l_6a87fca0d776bdb695254236.jpeg
231|MARCIANO Jersey Dress with Lace XS‎|37.0|138.0|XS|Marciano|nwt|https://poshmark.com/listing/6a87fac918db02841a623d58|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a87fac918db02841a623d58/l_6a87fac918db02841a623d59.jpeg
232|ALL SAINTS‎ Black/White "Fey" Cheetah Animal Print Size XS|50.0|328.0|XS|All Saints|ug|https://poshmark.com/listing/6a87f958c1c79e19c363a4b4|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a87f958c1c79e19c363a4b4/l_6a87f958c1c79e19c363a4b5.jpeg
233|KAY UNGER Vintage Mint‎ Green/Cream Adorable Blazer and Skirt Set Size 2|400.0|960.0|2|Kay Unger|ug|https://poshmark.com/listing/6a87f7fcf314c2f235735da7|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/21/6a87f7fcf314c2f235735da7/l_6a87f7fcf314c2f235735da8.jpeg
234|JAMES‎ AVERY Bags and Boxes|29.0|50.0|OS|James Avery|ug|https://poshmark.com/listing/6a87f6ac014ea3a916cc4241|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87f6ac014ea3a916cc4241/l_6a87f6ac014ea3a916cc4242.jpeg
235|The Children's Place Black‎ Quilted Ballet Flats|13.0|42.0|2BB|The Children's Place|ug|https://poshmark.com/listing/6a87f54ca636161c2d2072b6|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87f54ca636161c2d2072b6/l_6a87f54ca636161c2d2072b7.jpg
236|MIXIT Rhinestone Sandal‎ Size 9|21.0|55.0|9|Mixit|nwt|https://poshmark.com/listing/6a87e555c10736442c6ba512|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87e555c10736442c6ba512/l_6a87e555c10736442c6ba513.jpeg
237|MAX + ASH Black Wrap-Style‎ Dress S|14.0|45.0|S|Max+Ash|ug|https://poshmark.com/listing/6a87e3eb0c8b47be409fc0a1|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87e3eb0c8b47be409fc0a1/l_6a87e3eb0c8b47be409fc0a2.jpeg
238|NO BOUNDARIES‎ Blue/White Tie-Dye Drawstring Hoodie Size S|11.0|25.0|S|No Boundaries|ug|https://poshmark.com/listing/6a87e2a0fc6d1e36c609288c|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87e2a0fc6d1e36c609288c/l_6a87e2a0fc6d1e36c609288d.jpeg
239|SCRUBSTAR Deep Slate Antimicrobial Premium Performance Tonal Control‎ Set XS|23.0|100.0|XS|Scrubstar|ug|https://poshmark.com/listing/6a87e143a63616416819cda2|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87e143a63616416819cda2/l_6a87e143a63616416819cda3.jpeg
240|COACH Vintage‎ Black City Bag 9790|500.0|895.0|OS|Coach|ug|https://poshmark.com/listing/6a87dfc90ef143e34ca69d81|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87dfc90ef143e34ca69d81/l_6a87dfc90ef143e34ca69d82.jpeg
241|H&M White Ruffle Crop Top Size‎ XS|14.0|25.0|XS|H&M|ug|https://poshmark.com/listing/6a87de8d37ab1754b8005e65|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87de8d37ab1754b8005e65/l_6a87de8d37ab1754b8005e66.jpeg
242|GILLI‎ Long Sleeved Ruched Purple Dress Sz XS|12.0|68.0|XS|Gilli|ug|https://poshmark.com/listing/6a87dd2fdb9420e8268708c2|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87dd2fdb9420e8268708c3.jpeg
243|VIXBE Orange Leopard‎ Button Peasant  Blouse Size Small|21.0|60.0|S|VIXBE (Stitch Fix)|ug|https://poshmark.com/listing/6a86a5b03559d5c27b4c1232|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a86a5b03559d5c27b4c1232/l_6a86a5b03559d5c27b4c1233.jpeg
244|Elegant Gold Champagne‎ Flute and Cake Server Set|90.0|275.0|OS|Jozen Gifts|nwt|https://poshmark.com/listing/6a86a473e15c911f89565338|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a86a473e15c911f89565338/l_6a86a473e15c911f89565339.jpg
245|BALENCIAGA Calf Hair Hi-Top Sneakers 41‎|298.0|995.0|41|Balenciaga|ug|https://poshmark.com/listing/6a87b3af970988a1a27cf466|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a87b3af970988a1a27cf466/l_6a87b3af970988a1a27cf467.jpeg
246|AMBIANCE Vintage Y2K 90s 2000s Striped‎ Jersey Sleeveless Tube Dress Size M|24.0|100.0|M|Ambiance|ug|https://poshmark.com/listing/6a86a1798f9d3e10eeeabd3e|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a86a1798f9d3e10eeeabd3e/l_6a86a1798f9d3e10eeeabd3f.jpeg
247|Vintage COACH Green‎ Leather Bucket Bag with Buckle Detail|500.0|1500.0|OS|Coach|ug|https://poshmark.com/listing/6a86a01636955e541e3f5a7e|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a86a01636955e541e3f5a7e/l_6a86a01636955e541e3f5a7f.jpg
248|JILL STUART Gray/Purple Floral Blouse‎ Size 14 Like New|45.0||14|Jill Stuart|uln|https://poshmark.com/listing/6a869eda8d409cc96fd02b14|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869eda8d409cc96fd02b14/l_6a869eda8d409cc96fd02b15.jpg
249|VINTAGE 1990s Multicolor Gold‎ Jewel Clip-On Earrings|149.0|999.0|OS|Vintage|ug|https://poshmark.com/listing/6a869d9a1e28d33254239578|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869d9a1e28d33254239578/l_6a869d9a1e28d33254239579.jpg
250|FRENCH PASTRY "Flower P🥬wer"‎ Graphic Tee S|24.0|50.0|S|french pastry|nwt|https://poshmark.com/listing/6a869bfbe5e917526a9ef0bd|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869bfbe5e917526a9ef0bd/l_6a869bfbe5e917526a9ef0be.jpeg
251|TOMMY HILFIGER Blue Whitewash Distressed Patches‎ Bermuda Denim Shorts Size 4|22.0|88.0|4|Tommy Hilfiger|ug|https://poshmark.com/listing/6a869a9efa43c1dabfbd4aa0|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869a9efa43c1dabfbd4aa0/l_6a869a9efa43c1dabfbd4aa1.jpeg
252|LADY CAOL PETITES OF NY Red Pinstripe 1/2-Button A-line‎ Dress VIntage Size 10|32.0|199.0|10P|Lady Carol Petites|ug|https://poshmark.com/listing/6a869969ed364e424b0dcf0d|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869969ed364e424b0dcf0d/l_6a869969ed364e424b0dcf0e.jpeg
253|VINTAGE‎ Ugly Christmas Sweater "16-Bit Santa"|51.0|100.0|M|Vintage|ug|https://poshmark.com/listing/6a869816f61f81a8382373d2|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869816f61f81a8382373d2/l_6a869816f61f81a8382373d3.jpeg
254|MAUVE‎ ANTHROPOLOGIE Violette Pink Dress Sz 0|77.0|178.0|0|Mauve|ug|https://poshmark.com/listing/6a8696a864399b5dd1042c3f|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a8696a864399b5dd1042c3f/l_6a8696a864399b5dd1042c40.jpeg
255|DOUBLE ZERO Cream Scalloped Blouse Button Back‎ M|20.0|40.0|M|Double Zero|ug|https://poshmark.com/listing/6a869382c107362a30c38872|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a869382c107362a30c38872/l_6a869382c107362a30c38873.jpeg
256|VICTORIA'S SECRET Bra‎ and PANTY set|59.0|150.0|Bra 32DD / PANTY S/P|Victoria's Secret|ug|https://poshmark.com/listing/6a86918acb00f32e37fd63de|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a86918acb00f32e37fd63de/l_6a86918acb00f32e37fd63df.jpeg
257|VINTAGE Blue Resort 1970s Gauzy Sheer Ruffle Maxi Dress Coverup Nighty‎ Size S/M|37.0|120.0|S/M|Vintage|ug|https://poshmark.com/listing/6a868ffbe5e91701109ae9cf|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a868ffbe5e91701109ae9cf/l_6a868ffbe5e91701109ae9d0.jpeg
